"filename", "language", "JSON", "JavaScript", "CSS", "wxs", "wxml", "Markdown", "comment", "blank", "total"
"d:\project\travel\miniprogram\pages\user\reward\reward.wxml", "wxml", 0, 0, 0, 0, 3, 0, 1, 1, 5
"d:\project\travel\miniprogram\pages\user\reward\reward.wxss", "CSS", 0, 0, 7, 0, 0, 0, 1, 1, 9
"d:\project\travel\miniprogram\pages\user\user.js", "JavaScript", 0, 37, 0, 0, 0, 0, 151, 25, 213
"d:\project\travel\miniprogram\pages\user\user.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 8
"d:\project\travel\miniprogram\pages\user\user.wxml", "wxml", 0, 0, 0, 0, 53, 0, 6, 4, 63
"d:\project\travel\miniprogram\pages\user\user.wxs", "wxs", 0, 0, 0, 21, 0, 0, 0, 3, 24
"d:\project\travel\miniprogram\pages\user\user.wxss", "CSS", 0, 0, 53, 0, 0, 0, 18, 2, 73
"d:\project\travel\miniprogram\sitemap.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\project\travel\miniprogram\store\userinfo.js", "JavaScript", 0, 44, 0, 0, 0, 0, 14, 6, 64
"d:\project\travel\miniprogram\style\guide.wxss", "CSS", 0, 0, 124, 0, 0, 0, 0, 21, 145
"d:\project\travel\miniprogram\utils\base64.js", "JavaScript", 0, 110, 0, 0, 0, 0, 2, 26, 138
"d:\project\travel\miniprogram\utils\getLogin.js", "JavaScript", 0, 34, 0, 0, 0, 0, 9, 2, 45
"d:\project\travel\miniprogram\utils\utils.js", "JavaScript", 0, 37, 0, 0, 0, 0, 8, 5, 50
"d:\project\travel\project.config.json", "JSON", 99, 0, 0, 0, 0, 0, 0, 0, 99
"d:\project\travel\project.private.config.json", "JSON", 60, 0, 0, 0, 0, 0, 0, 0, 60
"Total", "-", 2241, 1950, 5020, 59, 571, 570, 753, 488, 11652
